Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

data_01	T01	4	1	1	2.1977	1.00003	2.00006	((2_0_0:0.15796115,(3_0_0:0.03967907,1_0_0:0.03967907):0.11828208):0.84206888,4_0_0:1.00003003);

data_02	T02	4	1	1	2.65033	0.994418	1.98884	(((4_1_0:0.46565606):0.03786970,1_0_0:0.50352575):0.49089235,((2_0_0:0.15796652,3_0_0:0.15796652):0.30787300):0.52857858);

data_03	T03	4	1	1	2.41999	1.00002	2.00004	(1_0_0:1.00001954,(4_0_0:0.26200653,(3_0_0:0.15794166,2_0_0:0.15794166):0.10406487):0.73801301);

data_04	T04	4	1	1	2.36955	0.87299	1.74598	((4_0_0:0.46556911,(3_0_0:0.15800176,2_0_0:0.15800176):0.30756735):0.40742122,1_0_0:0.87299033);

data_05	T05	4	1	1	1.85902	0.689409	1.37882	(4_0_0:0.68940911,(1_0_0:0.32209080,(3_0_0:0.15811091,2_0_0:0.15811091):0.16397989):0.36731831);

data_06	T06	4	1	1	2.62379	1.00015	2.0003	(1_0_0:1.00014933,((2_0_0:0.15797432,3_0_0:0.15797432):0.30754574,4_0_0:0.46552007):0.53462927);

data_07	T07	4	1	1	2.62358	1.00001	2.00002	(1_0_0:1.00000783,(4_0_0:0.46552536,(3_0_0:0.15803815,2_0_0:0.15803815):0.30748721):0.53448247);

data_08	T08	5	1	1	2.53521	0.89359	1.78718	(((2_0_0:0.15793514,(3_0_0:0.12433539,3_1_0:0.12433539):0.03359975):0.30782204,4_0_0:0.46575719):0.42783241,1_0_0:0.89358959);

data_09	T09	4	1	1	2.48394	0.930228	1.86046	((4_0_0:0.46553095,(3_0_0:0.15795434,2_0_0:0.15795434):0.30757661):0.46469717,1_0_0:0.93022812);

data_10	T10	4	1	1	2.45538	1.00044	2.00087	(((2_0_0:0.15798702,3_0_0:0.15798702):0.13853609,(4_0_0:0.20868851:0.05063692):0.08783461):0.70391339,(1_0_0:0.19792819):0.80250831);
